,name,position_firm,sex,age,contact_details,email_add,vc_stakeholders,industry_cluster,reg_businessname,business_addr,form_interprise,issued_by_business_reg,issued_by_product_reg,issued_by_cert_reg,issued_by_lic_op,issued_by_iso_cert,issued_by_gapgmp_cert,issued_by_organic,issued_by_halal,issued_by_other_cert,type_enterprise,store_capacity_organic,store_capacity_synthetic,potential_organic,potential_synthetic,other_info_organic,other_info_synthetic,store_capacity_pesticides,store_capacity_herbicides,potential_pesticides,potential_herbicides,other_info_pesticides,other_info_herbicides,store_capacity_vermicast_compost,potential_vermicast_compost,other_info_vermicast_compost,store_capacity_seedlings,potential_seedlings,other_info_seedlings,store_capacity_others_specific_products,potential_others_specific_products,other_info_others_specific_products,area_capacity_drying,potential_exp_drying,other_info_drying,area_capacity_storage_hauling,potential_exp_storage_hauling,other_info_storage_hauling,area_capacity_storage,potential_exp_storage,other_info_storage,current_capacity_semi_processing,potential_exp_semi_processing,other_info_semi_processing,current_capacity_final_product,potential_exp_final_product,other_info_final_product,volume_consolidation,potential_consolidation,other_info_consolidation,production_pack_label,potential_pack_label,other_info_pack_label,loan_portfo_micro_financing,potential_micro_financing,other_info_micro_financing,loan_portfo_insurance,potential_insurance,other_info_insurance,prodsales_product_service,prodsales_sales_vol,prodsales_unit_selling,prodsales_unit_measurement,prodsales_payment_terms,raw_materials,volume_supply,quality_requirement,unit_measurement_raw,distrib_point_local_cust,sales_vol_local_cust,payment_terms_local_cust,inhouse_num_workersmale,inhouse_num_workersfemale,inhouse_memb_ip_group,inhouse_ave_workdays,inhouse_ave_salary,sub_cont_num_workersmale,sub_cont_num_workersfemale,sub_cont_memb_ip_group,sub_cont_ave_workdays,sub_cont_ave_salary,piece_rate_num_workersmale,piece_rate_num_workersfemale,piece_rate_memb_ip_group,piece_rate_ave_workdays,piece_rate_ave_salary,form_interprise2,pricing,quality_raw,quality_final_prod,other_specifyc3,existing_comm,prov_supp_assis,business_prodc3,member_livelihood,what_cluster_industry
10,Marie,owner,Female,23,09381735163,,MSME,Coffee,kopi,surigao del sur,Partnership,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
11,Jojo nati,owner,Male,23,09381735161,,MSME,Coconut,kopinut,surigao del sur,Corporation,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
12,azura natividad,owner,Male,23,09381735160,,MSME,,caoko,maguindanao,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
13,guia mesa,owner,Female,28,09481726451,,MSME,Coconut,nata de coco,zamboanga del norte,Partnership,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
14,sza mesa,owner,Female,28,09481726450,,MSME,Coffee,kapi baraku,zamboanga del sur,Corporation,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
15,Papa P,owner,Male,28,09481726478,,MSME,,pilipili,zamboanga sibugay,Partnership,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
16,Angel locsin,owner,Female,28,09481726476,,MSME,Coconut,kaka,leyte,Single/Sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
17,Kashe Lopez,owner,Female,29,09872615241,,MSME,Coffee,maam coffee,sultan kudarat,Partnership,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
18,jason derulo,owner,Male,31,09172615241,,MSME,Cacao,kokoa,sarangani,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
19,jason momoa,owner,Male,38,09172615240,,MSME,Cacao,tokelet,lanao del norte,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
20,Sizzy mazie,owner,Female,46,09172615242,,MSME,Cacao,juicy,north cotabato,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
21,Drex Pol,owner,Male,46,09172615247,,MSME,Cacao,mint,misamis oriental,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
22,via luz,owner,Female,32,09872615263,,MSME,Coconut,nata,agusan del norte,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
23,ed caluag jr.,owner,Male,35,09281726354,,MSME,Coffee,starbucks,agusan del norte,Single/Sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
24,Karla Espida,owner,Female,38,09471625461,karla@gmail.com,MSME,Coffee,kopiko,agusan del sur,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
25,Alicia Sister Adarayan,Owner,Female,60.0,9631297233.,,MSME,Coconut,Alice And Vic Food Processing,Brgy Binaticlan Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50%OF THE AREA  10X5 ,Y,,N/A,N/A,N/A,50%OF THE AREA  10X5 ,Y,N/A,100 PCS OF COCONUTS,Y,N/A,140 BOTTLES/ 250 ML,Y,N/A,140 BOTTLES/ 250 ML,Y,N/A,Plastic Bottle With Label Sanaol Mgpa Fresh,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Coco Jam,140 BOTTLES/250G,50 PHP EACH POUCH,pouch/grams,COD,Coconut,100 pcs of coconuts,Organic,Cash,Northern Samar,200 bottles of coco jam,COD,3.0,3.0,,8 days/mo,10000 php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
26,Analyn Dianito Gulam,Owner,Female,40.0,09471676714,gulamanalyn82@gmail.com,MSME,Coconut,,"Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,15 kg of coco husk,Y,N/A,2 bilao of bukayo,Y,N/A,15 kg of coco husk,Y,N/A,2 bilao of bukayo,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bokayo,2 bilao of bukayo,PhP600,per bilao,COD,Coconut,15 kg of coco husk,Color,Cash,Laoang,2 bilao of bukayo,COD,1.0,1.0,,1.0,N/A,,,,,,,,,,,No,No,No,No,,No,No,Yes,,Provision of financial support and equipment
27,Angela Escandor Te,Owner,Female,20.0,9357122290.,lilibethete144@gmail.com,MSME,Cacao,Rj Food Products,Brgy. Baybay Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/3X5,Y,,N/A,N/A,N/A,50% OF THE AREA/3X5,Y,N/A,36 KGS OF CACAO (DRIED),Y,N/A,2520 PCS OF TABLEA,Y,N/A,2520 PCS OF TABLEA,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Tablea,2520 PCS OF TABLEA,6 PHP EACH,per pc,COD,Cacao,84 kgs ,Organic,Cash,Northern Samar,5880 pcs of tablea,COD,2.0,2.0,,12 days/mo,35280 php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
28,Bernadeth Tacmo Irinco,Manager,Female,51.0,09515112209,,MSME,Coconut,,"Brgy. Sto. Niño, Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,20 percent ,Y,N/A,220 pieces of coconut ,Y,N/A,440 buko juice,Y,N/A,220 pieces of coconut ,Y,N/A,440 buko juice,Y,N/A,ASA-Coconut,Y,N/A,N/A,N/A,N/A,Buko juice,440 buko juice,PhP18,per piece,COD,Coconut,220 pieces of coconut ,Color,Cash,Laoang,440 buko juice,COD,1.0,1.0,,22.0,250.0,,,,,,,,,,,No,No,No,No,,No,No,Yes,,Provision of financial support for buko juice business
29,Carlota Asebuche Dura,Owner,Female,48.0,09755914304,carlotaasebuchedura@gmail.com,MSME,Cacao,,"Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,10 kg,Y,N/A,900 pcs of tablea,Y,N/A,10 kg,Y,N/A,900 pcs of tablea,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,900 pcs of tablea,PhP100,per pack,COD,Cacao beans,10 kg,Color,Cash,Laoang,900 pcs of tablea,COD,1.0,1.0,,1.0,N/A,,,,,,,,,,,"Yes, lack of supply",No,No,No,,No,No,Yes,,Provision of financial support and materials
30,Ceasar M. Delos Reyes,Owner,Male,39.0,09971971400,,MSME,Pili,,"Brgy. Sabang II, Allen, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,70 sq. meters (50%),Y,,N/A,N/A,N/A,70 sq. meters,Y,N/A,300 kg dry beans,Y,N/A,N/A,N/A,N/A,1000 kg with shell,Y,N/A,300 kg,Y,N/A,MSDC-Pili,Y,N/A,N/A,N/A,N/A,Pili bean,300 kg,PhP500,kg,COD,Pili beans,300 kg,Color,Cash,Allen and Catbalogan,300 kg,COD,2.0,5.0,,20.0,None,1.0,5.0,,20.0,21000.0,,,,,,"Yes, it has been hard to locate farmer-suppliers.",No,"Yes, sometimes the procured beans are low in quality. ",No,,No,No,Yes,N/A,Provide financial assistance for pili farmers
31,Cedrick Josana Laguitan Caber,Owner,Male,20.0,9125780025.,,MSME,Pili,Cabers Food Services,Brgy.Tumagingting Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA 5X4,Y,,N/A,N/A,N/A,50% OF THE AREA 5X4,Y,N/A,12 KG OF DRIED PILI,Y,N/A,"3,000 PCS PILI TART",Y,N/A,"3,000 PCS PILI TART",Y,N/A,Plastic Tub With Labelling,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Pili Tart,"3,000 PCS ",15 PHP EACH,per pc,COD,Pili (Dried),12 kgs,Organic,Cash,Northern Samar,3000 pcs of pili tart,COD,1.0,1.0,,5 days/mo,"45,000 php/mo",,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
32,Desiree Corocoto Erinco,Owner,Female,34.0,9203450618.,,MSME,Cacao,Desiree Native Delecacies,Brgy. Suba Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/3X4,Y,,N/A,N/A,N/A,50% OF THE AREA/3X4,Y,N/A,8 KGS OF CACAO (DRIED),Y,N/A,800 PCS OF TABLEA,Y,N/A,800 PCS OF TABLEA,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Tablea,600 PCS OF TABLEA,5 PHP/EACH,per pc,COD,Cacao,8 kgs ,Organic,Cash,Northern Samar,600 pcs of tablea,COD,1.0,1.0,,8 days/mo,3000/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
33,Dina Lustico  Paredes,Owner,Female,43.0,09102645486,dinaparedes211979@gmail.com,MSME,Cacao,,"Brgy. Santa Clara, Bobon",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,"They only purchase cacao from the market, so they dont have an idea if the farmers have used synthetic fertilizers or not",,,,,,,,,,,,,,,,10 sq. meters (50%),Y,,N/A,N/A,N/A,10 sq. meters,Y,N/A,2 kg,Y,N/A,1.75 kg of tablea,Y,N/A,2 kg per batch; 3 batches per month,Y,N/A,115 packs,Y,N/A,N/A,N/A,N/A,Cacao,Y,N/A,Tablea,400 pieces,PhP120,per 20 pieces,COD,Cacao beans,6 kg ,Color,Cash,Bubon,400 pieces,COD,1.0,1.0,,4.0,2400.0,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Provision of financial support, equipment, and facilities."
34,Edgar Espena Garzon,Owner,Male,50.0,9203969395.,,MSME,Coconut,Edgar Eatery,Brgy. Baybay Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,25% OF THE AREA 4X68,Y,,N/A,N/A,N/A,25% OF THE AREA 4X68,Y,N/A,120 PCS COCONUTS,Y,N/A,"2,000 PCS OF PUTO COCONUT",Y,N/A,"2,000 PCS OF PUTO COCONUT",Y,N/A,Plastic Cellophane With Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Puto Coconut,"2,000 PCS",6 PHP EACH,per pc,COD,Coconut,120 pcs of coconuts,Organic,Cash,Northern Samar,"2,000 pcs of puto coconut",COD,2.0,2.0,,30days/mo,"12,000 php/mo",,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
35,Edna Iringco Acebuche,Owner,Female,44.0,9515023275.,ednaacebuche@1978@gmail.com,MSME,Cacao,Ednas Homemade Products,Brgy Rawis Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),2 Sacks/Mo,,2 Sacks/Mo,,,,,,,,,,,,,,,,,,,25% OF THE  AREA 200SQ METERS,Y,,N/A,N/A,N/A,25% OF THE  AREA 200SQ METERS,Y,N/A,5 KGS OF CACAO (DRIED),Y,N/A,1000 PCS OF TABLEA,Y,N/A,1000 PCS OF TABLEA,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Tablea,1000 PCS,10PHP EACH,per pc,COD,Dried Cacao,5 kgs,Organic,Cash,Laoang Municipality,1000 pcs of tablea,COD,,3.0,,7 days/mo,10000 php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
36,Emelda T. Pantaleon,Owner,Female,54.0,09758753703,,MSME,Pili,,"Brgy. Sabang II, Allen, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,unable to estimate,N/A,N/A,5 kg pili nuts,Y,N/A,N/A,N/A,N/A,5 kg pili nuts,Y,N/A,ASA- Pili,Y,N/A,N/A,N/A,N/A,Pili nuts,5 kg pili nuts,PhP100,per pack,COD,Pili,unable to estimate,Color,Cash,Allen,5 kg pili nuts,COD,4.0,4.0,,7.0,N/A,,,,,,,,,,,"Yes, high price",No,No,No,,No,No,No,,"Control the purchasing of pili from other regions like Bicol from Allen, to promote balance and sustainable supply."
37,Erick P. Bugtong,Owner,Male,22.0,09073119270,bugtongerick99@gmail.com,MSME,Pili,Sangkay ko yon - Pili Enterprise,"Brgy. Sabang II, Allen, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,unable to estimate,N/A,N/A,40 kg/month,Y,N/A,30 kg/ month,Y,N/A,Large 40 pcs; Medium 60; Small 200,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pili nuts,Large 40 pcs; Medium 60; Small 200,Large PhP60; Medium PhP40; Small PhP20,per pack,GCASH or COD,Pili beans,30 kg,Color,Cash,Allen,Large 40 packs; Medium 60 packs; Small 200 packs,COD,2.0,3.0,,8.0,None,,,,,,,,,,,"Yes,  high price of raw materials in off season.",Yes,Yes,No,,No,No,No,"Yes, through agriculture support.","Control the purchasing of pili from other regions like Bicol from Allen, to promote balance and sustainable supply."
38,Estellita Datiles,Owner,Female,76.0,09305745554,joyceestrella15@gmail.com,MSME,Cacao,,"Brgy. Salvacion, Bobon",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,"They do not apply anything, they only perform smoking to induce flowering through the the constituent of a smoke--ethylene gas.",,,,,,,,,,,,,,,400 sq. meters (20%),Y,,N/A,N/A,N/A,400 sq. meters (5%),Y,N/A,6 kg,Y,N/A,4 kg of tablea,Y,N/A,6 kg,Y,N/A,4 kg of tablea,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tablea,4 kg of tablea,PhP10,per piece,COD,Cacao beans,6 kg,Color,Cash,Bubon,4 kg of tablea,COD,,3.0,,4.0,1200.0,,,,,,,,,,,No,No,No,No,,No,No,Yes,,Provision of financial support to expand tablea and cacao business
39,Gemma Galupo Narca,Owner,Female,32.0,9398856586.,,MSME,Cacao,None,Brgy. Baybay Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,15% OF THE AREA 3X4,Y,,N/A,N/A,N/A,15% OF THE AREA 3X4,Y,N/A,10 KGS OF CACAO (DRIED),Y,N/A,500 PCS OF TABLEA,Y,N/A,500 PCS OF TABLEA,Y,N/A,Plastic Cellophane Without Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Tablea,500 PCS,5PHP EACH,per pc,COD,Dried Cacao,10kgs,Organic,Cash,Laoang Municipality,500 pcs of tablea,COD,1.0,2.0,,7 days/mo,2500 php/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
40,George Dula Longoria,Owner,Male,43.0,9485077265.,georlong79@gmail.com,MSME,Pili,Longorias Food Processing,Brgy.Little Venice Laoang Northern Samar,Single/Sole,DTI registered ,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,,50% OF THE AREA/5X4,Y,,N/A,N/A,N/A,50% OF THE AREA/5X4,Y,N/A,20 KG OF DRIED PILI,Y,N/A,240 BOTTLES/200GRAMS,Y,N/A,240 BOTTLES/200GRAMS,Y,N/A,Plastic Bottles With Label,Y,N/A,Own fund for capital,Y,N/A,N/A,Y,N/A,Pili Butter,6000 BOTTLES/MOL,180 PHP/BOTTLE,per pc,COD,Pili (Dried),20kg,Organic,Cash,Northern Samar,240 bottles of vinegar,COD,2.0,2.0,,12 days/mo,43200/mo,,,,,,,,,,,No,No,No,No,,No,No,Yes,,"Funds For Capital,Equipments And Facilities,Seedlings And Fertilizers,Training For Making Other Products"
41,Grace Dulla Lipata,Owner,Female,67.0,09506152017,,MSME,Coconut,Grace Delicacies,"Brgy. San Miguel Heights, Laoang, Northern Samar",Single/Sole,No DTI Registration,,,,,,,,,Micro (3M below),,,,,,,,,,,,,,,,,,,,,They do not use any of this.,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,100 kg,Y,N/A,400 pcs of bukayo,Y,N/A,100 kg,Y,N/A,400 pcs of bukayo,Y,N/A,NSD-Coconut,Y,N/A,N/A,N/A,N/A,Bokayo,400 pcs of bukayo,PhP600,per bilao,COD,Coconut,100 kg,Color,Cash,Laoang,400 pcs of bukayo,COD,,1.0,,1.0,N/A,1.0,1.0,,1.0,200/DAY,,,,,,No,No,No,No,,No,No,Yes,,Provision of financial support and equipment
